datetime	open	high	low	close	volume
03.01.2020 00:00	84.62	85.74	84.24	85.33	954747
06.01.2020 00:00	85.35	85.35	84.52	85.24	573710
08.01.2020 00:00	84.71	86.18	84.32	85.45	722477
09.01.2020 00:00	85.6	88.95	85.3	87.78	1640219
10.01.2020 00:00	88.0	89.38	87.22	89.3	1449378
13.01.2020 00:00	89.64	92.0	88.71	91.89	2628579
14.01.2020 00:00	91.9	92.52	89.66	90.02	1984754
15.01.2020 00:00	90.02	90.7	89.01	90.37	1133634
16.01.2020 00:00	90.39	91.19	88.38	88.96	1549160
17.01.2020 00:00	88.78	91.99	88.6	91.85	1842795
20.01.2020 00:00	91.4	91.9	90.66	90.99	1498947
21.01.2020 00:00	90.83	91.85	89.63	90.87	1935225
22.01.2020 00:00	90.71	92.64	90.71	91.49	2290230
23.01.2020 00:00	91.0	92.21	89.88	90.02	1873059
24.01.2020 00:00	90.0	91.01	89.8	90.49	1084585
27.01.2020 00:00	89.55	89.85	86.54	87.0	1725829
28.01.2020 00:00	87.0	87.58	84.56	85.53	2992633
29.01.2020 00:00	85.78	86.63	85.01	85.5	1837423
30.01.2020 00:00	85.15	85.31	82.82	82.82	2513577
31.01.2020 00:00	83.0	84.0	80.05	80.2	2610756
03.02.2020 00:00	80.0	82.21	79.66	81.45	1683684
04.02.2020 00:00	81.85	82.88	80.76	82.7	2577218
05.02.2020 00:00	82.98	85.25	82.15	84.39	2663151
06.02.2020 00:00	84.71	85.36	82.8	83.71	2013876
07.02.2020 00:00	83.71	84.79	82.8	84.53	1194367
10.02.2020 00:00	84.59	84.74	79.87	82.05	3899874
11.02.2020 00:00	82.42	82.9	80.76	82.18	1966415
12.02.2020 00:00	82.3	83.15	81.5	82.78	1505890
13.02.2020 00:00	82.48	82.7	81.16	81.47	1047135
14.02.2020 00:00	81.4	82.36	81.22	82.17	739066
17.02.2020 00:00	81.87	82.48	81.64	82.19	523925
18.02.2020 00:00	82.05	82.65	80.37	80.5	1355782
19.02.2020 00:00	80.57	81.81	80.57	81.25	1117245
20.02.2020 00:00	81.3	83.75	81.3	82.96	2079875
21.02.2020 00:00	82.61	83.45	81.85	83.2	910373
25.02.2020 00:00	81.5	86.03	80.01	80.2	2622830
26.02.2020 00:00	80.49	80.87	77.0	79.0	3265671
27.02.2020 00:00	78.7	78.84	75.9	76.26	2908641
28.02.2020 00:00	74.99	75.25	67.56	71.39	7103100
02.03.2020 00:00	73.35	73.57	70.0	71.56	3127215
03.03.2020 00:00	72.71	72.81	70.12	70.82	1936619
04.03.2020 00:00	70.12	72.16	67.44	71.56	2578385
05.03.2020 00:00	72.02	72.5	70.68	71.65	1094718
06.03.2020 00:00	71.2	71.52	68.7	70.75	3650028
10.03.2020 00:00	63.69	73.98	62.37	68.61	5733146
11.03.2020 00:00	70.0	71.39	67.03	69.42	3008532
12.03.2020 00:00	66.99	67.88	63.55	63.55	4544051
13.03.2020 00:00	64.0	66.28	62.79	62.79	3980180
16.03.2020 00:00	63.89	63.89	57.31	59.95	4254595
17.03.2020 00:00	59.15	60.45	57.31	58.98	2748180
18.03.2020 00:00	57.68	59.19	51.51	54.0	5519215
19.03.2020 00:00	53.5	59.71	51.01	59.7	4637448
20.03.2020 00:00	61.0	65.5	56.6	57.3	4986093
23.03.2020 00:00	55.55	59.63	54.01	57.56	2852160
24.03.2020 00:00	60.44	62.0	58.06	58.37	4183090
25.03.2020 00:00	60.12	63.92	60.01	61.61	4401297
26.03.2020 00:00	61.7	62.07	58.81	60.46	2876598
27.03.2020 00:00	61.0	61.44	56.04	56.9	2515424
30.03.2020 00:00	55.77	58.95	54.47	58.72	2349356
31.03.2020 00:00	59.03	64.59	59.03	64.59	4241926
01.04.2020 00:00	63.0	64.7	61.76	63.43	3136323
02.04.2020 00:00	65.0	65.4	60.0	61.8	4370180
03.04.2020 00:00	61.85	63.3	61.11	61.59	2802047
06.04.2020 00:00	62.5	64.0	61.64	63.5	2142148
07.04.2020 00:00	64.77	66.5	63.99	65.8	3451227
08.04.2020 00:00	65.3	65.58	64.58	65.58	1837205
09.04.2020 00:00	65.93	67.4	65.61	67.33	2722851
10.04.2020 00:00	66.8	66.89	65.56	66.35	1601152
13.04.2020 00:00	66.1	66.35	63.37	64.75	1511924
14.04.2020 00:00	64.9	65.92	63.5	63.5	2631203
15.04.2020 00:00	63.5	63.65	59.8	59.9	3138633
16.04.2020 00:00	60.23	60.74	58.5	59.24	3430755
17.04.2020 00:00	60.01	61.1	59.02	60.78	2678279
20.04.2020 00:00	60.79	61.88	59.71	60.02	2377759
21.04.2020 00:00	59.31	60.84	59.04	60.28	2415451
22.04.2020 00:00	59.74	62.5	59.74	61.71	2220445
23.04.2020 00:00	62.11	63.68	61.65	62.87	2483851
24.04.2020 00:00	62.95	62.95	60.82	61.11	2284855
27.04.2020 00:00	61.4	62.46	61.32	61.76	1302525
28.04.2020 00:00	61.8	65.33	61.8	63.77	3166257
29.04.2020 00:00	64.62	65.09	63.61	63.9	1894126
30.04.2020 00:00	64.38	64.62	61.25	62.2	3462822
04.05.2020 00:00	61.68	62.8	60.81	62.5	1338272
05.05.2020 00:00	63.15	63.34	62.21	62.79	1479453
06.05.2020 00:00	62.8	63.3	61.36	61.73	1889943
07.05.2020 00:00	61.8	62.99	61.4	62.51	1368484
08.05.2020 00:00	62.8	62.83	61.63	62.4	961101
12.05.2020 00:00	62.54	63.73	61.82	62.86	2423554
13.05.2020 00:00	62.8	62.8	61.18	61.18	1591228
14.05.2020 00:00	61.0	61.99	60.71	61.09	1502709
15.05.2020 00:00	61.75	62.0	59.82	59.82	1427738
18.05.2020 00:00	60.47	61.77	60.38	61.33	1705026
19.05.2020 00:00	61.22	62.2	61.17	61.5	1314521
20.05.2020 00:00	61.44	64.25	61.05	63.97	3358976
21.05.2020 00:00	63.82	65.0	62.83	63.6	2402993
22.05.2020 00:00	63.06	64.55	63.06	63.81	1955567
25.05.2020 00:00	64.0	64.7	63.75	63.9	1269972
26.05.2020 00:00	64.49	65.63	64.26	64.7	1893063
27.05.2020 00:00	64.95	67.21	64.71	65.84	2686808
28.05.2020 00:00	66.01	67.95	65.9	67.95	2002167
29.05.2020 00:00	67.62	67.79	65.63	66.0	3593151
01.06.2020 00:00	66.26	69.44	66.26	69.02	3335308
02.06.2020 00:00	69.44	70.34	67.53	68.27	3473588
03.06.2020 00:00	68.5	69.0	66.87	68.03	2625983
