datetime	open	high	low	close	volume
03.01.2020 00:00	143.98	144.74	143.3	144.5	458034
06.01.2020 00:00	144.5	144.5	140.88	141.94	660254
08.01.2020 00:00	139.0	139.5	137.8	139.5	933385
09.01.2020 00:00	139.14	143.6	139.14	141.96	1011067
10.01.2020 00:00	142.16	145.12	140.8	143.62	944473
13.01.2020 00:00	143.98	146.98	142.48	146.84	714555
14.01.2020 00:00	147.08	151.46	146.22	146.92	1150977
15.01.2020 00:00	146.9	148.76	145.24	146.5	651217
16.01.2020 00:00	146.72	149.3	146.72	147.58	598758
17.01.2020 00:00	148.8	150.5	148.0	150.2	580507
20.01.2020 00:00	150.26	152.0	148.1	148.78	771173
21.01.2020 00:00	148.38	148.68	145.78	147.36	549377
22.01.2020 00:00	147.36	148.1	143.52	144.04	889535
23.01.2020 00:00	143.52	145.66	142.94	144.2	431819
24.01.2020 00:00	145.2	146.18	144.56	145.0	270593
27.01.2020 00:00	144.22	144.38	140.5	143.16	549401
28.01.2020 00:00	143.0	144.64	142.64	144.12	407012
29.01.2020 00:00	145.06	145.06	143.32	144.2	412956
30.01.2020 00:00	143.5	144.52	142.54	143.82	276997
31.01.2020 00:00	144.18	144.66	138.0	138.0	1134141
03.02.2020 00:00	137.48	138.66	135.6	135.98	815477
04.02.2020 00:00	136.52	139.1	136.52	138.42	649168
05.02.2020 00:00	138.82	140.0	137.22	138.82	855892
06.02.2020 00:00	139.5	140.44	138.2	139.44	612795
07.02.2020 00:00	139.02	140.06	137.5	139.98	519952
10.02.2020 00:00	140.18	141.28	134.64	137.58	766110
11.02.2020 00:00	138.5	139.34	136.8	137.2	672304
12.02.2020 00:00	137.5	142.24	136.1	141.24	1324747
13.02.2020 00:00	140.3	140.9	138.84	139.14	571049
14.02.2020 00:00	139.14	141.22	138.3	140.32	547558
17.02.2020 00:00	140.8	141.86	139.68	140.42	204399
18.02.2020 00:00	139.6	141.36	138.6	138.9	572983
19.02.2020 00:00	140.0	140.44	137.2	139.12	497902
20.02.2020 00:00	139.52	141.1	139.3	139.98	441922
21.02.2020 00:00	139.8	140.76	138.86	139.82	584524
25.02.2020 00:00	137.96	139.9	137.68	137.72	804809
26.02.2020 00:00	137.82	137.98	134.5	136.74	992010
27.02.2020 00:00	136.0	136.4	131.4	131.4	799694
28.02.2020 00:00	127.0	130.76	123.16	124.94	2088616
02.03.2020 00:00	130.0	130.0	119.14	122.18	1670016
03.03.2020 00:00	123.5	124.48	121.12	122.36	996260
04.03.2020 00:00	121.42	123.9	120.28	123.16	803416
05.03.2020 00:00	124.44	124.84	121.74	124.38	878810
06.03.2020 00:00	123.0	123.44	117.6	119.56	1219089
10.03.2020 00:00	107.6	123.94	100.82	118.04	1842352
11.03.2020 00:00	119.9	122.94	117.02	120.7	1693985
12.03.2020 00:00	116.0	117.5	109.8	111.14	1472501
13.03.2020 00:00	111.2	116.88	109.54	109.54	1306253
16.03.2020 00:00	111.0	112.0	105.5	108.76	1271438
17.03.2020 00:00	109.28	113.0	104.0	107.8	1109683
18.03.2020 00:00	106.68	107.98	101.1	101.1	1035214
19.03.2020 00:00	102.0	110.86	100.0	108.42	1954946
20.03.2020 00:00	110.9	113.48	109.44	111.56	1637143
23.03.2020 00:00	108.56	110.88	106.5	108.36	907897
24.03.2020 00:00	111.0	117.34	111.0	116.08	1417063
25.03.2020 00:00	118.0	125.48	117.7	122.12	1871775
26.03.2020 00:00	121.96	122.44	118.56	119.76	1013935
27.03.2020 00:00	120.02	120.38	115.12	116.4	627652
30.03.2020 00:00	114.0	118.78	113.4	118.78	590053
31.03.2020 00:00	120.78	125.3	119.98	124.0	947386
01.04.2020 00:00	122.0	124.18	121.28	122.8	756251
02.04.2020 00:00	124.64	125.92	118.74	122.7	1213787
